Machine Id,Date,Session,Item Code(SKU),Item Name,Wastage Qty
VMC-CACC,29/01/2018,A,FGSLC-0000065,Sugar Roll,7
VMC-CACC,29/01/2018,A,FGSLC-0000125,Sugar Roll (Reduced Sugar with Omega 3),2
VMC-CACC,29/01/2018,A,FGSLC-0000006-REG,Brownie Slice,1
VMC-CACC,29/01/2018,A,FGSLC-0000062,Strawberry Roll Slice,3
VMC-CACC,29/01/2018,A,FGMUF-0000037,Dark Chocolate with Orange Muffin,3
VMC-CACC,29/01/2018,A,FGSLC-0000124,Strawberry Swiss Roll Slice,9
VMC-CACC,29/01/2018,A,FGWCK-0000001-MIN,Blackforest (Mini),2
VMC-CACC,29/01/2018,A,FGWCK-0000027-MIN,Cheese Cake (Mini),2
VMC-CACC,29/01/2018,A,FGWCK-0000012-MIN,Chocolate Truffle (Mini),2
VMC-CACC,29/01/2018,A,FGWCK-0000049-MIN,Tiramisu (Mini),2
VMC-CACC,29/01/2018,A,FGBLK-0000011,Pandan Swiss Roll,2
VMC-CACC,29/01/2018,A,FGBLK-0000009,Chocolate Swiss Roll ,2
VMC-CACC,29/01/2018,A,FGBLK-0000012,Strawberry Swiss Roll,2
