Machine Id,Date,Session,Item Code(SKU),Item Name,Wastage Qty
VMC-JR136,29/01/2018,A,FGSLC-0000125,Sugar Roll (Reduced Sugar with Omega 3),1
VMC-JR136,29/01/2018,A,FGSLC-0000062,Strawberry Roll Slice,2
VMC-JR136,29/01/2018,A,FGMUF-0000006,Chocolate Chip Muffin,1
VMC-JR136,29/01/2018,A,FGMUF-0000037,Dark Chocolate with Orange Muffin,2
VMC-JR136,29/01/2018,A,FGSLC-0000124,Strawberry Swiss Roll Slice,1
VMC-JR136,29/01/2018,A,FGSLC-0000121,Chocolate Swiss Roll Slice,2
VMC-JR136,29/01/2018,A,FGWCK-0000001-MIN,Blackforest (Mini),2
VMC-JR136,29/01/2018,A,FGWCK-0000049-MIN,Tiramisu (Mini),4
VMC-JR136,29/01/2018,A,FGBLK-0000011,Pandan Swiss Roll,2
VMC-JR136,29/01/2018,A,FGBLK-0000012,Strawberry Swiss Roll,2
