Machine Id,Date,Session,Item Code(SKU),Item Name,Wastage Qty
VMH-LYD,29/01/2018,A,FGPPF-0000003,Curry Puff,3
VMH-LYD,29/01/2018,A,FGPIE-0000003,Chicken Pie,5
VMH-LYD,29/01/2018,A,FGPPF-0000053,Curry Potato Puff,1
VMH-LYD,29/01/2018,A,FGPPF-0000013,Otah Puff,8
VMH-LYD,29/01/2018,A,FGPPF-0000004,Chicken Sausage Roll,5
VMH-LYD,29/01/2018,A,FGPPF-0000003,Curry Puff,4
VMH-LYD,29/01/2018,A,FGPIE-0000003,Chicken Pie,2
VMH-LYD,29/01/2018,A,FGPPF-0000053,Curry Potato Puff,1
VMH-LYD,29/01/2018,A,FGPPF-0000013,Otah Puff,5
VMH-LYD,29/01/2018,A,FGPPF-0000001,Apple Strudel,1
VMH-LYD,29/01/2018,A,FGPPF-0000004,Chicken Sausage Roll,1
